EVE,Type,Chromosome,Protein1,Protein2,HumanCoords,Orientation,MinAge,VirusGenus
ap.102-procavia,Intergenic,chr8,PVT1,CCDC26,8:128435359-128437048,+,10.17,Amdoparvovirus
erythyro.2-dolichotis,Intergenic,chr7,AKNRD7,KCND2,7:118242732-120273175,,0,Erythroparvovirus
erythyro.1-indri,Intronic,chrX,IL1RAPL1,IL1RAPL1,X:29148419-29154761,-,0,Erythroparvovirus
,,,,,,,,
,,,,,,,,
proto.2-MusSpr,Intronic,chr12,PDZRN4,PDZRN4,12:41262894-41263054,,0,Protoparvovirus
proto.4-MusSpi,Intronic,chr7,CCDC146,CCDC146,7:77247600-77252777,,,Protoparvovirus
proto.xx-marsupials,Intronic,chr8,ENPP2,ENPP2,8:119591710-119593739,+,NA,Protoparvovirus
proto.1-RatNor,Intergenic,chr9,CAVIN4,PLPPR1,9:100865872-100872934,,0,Protoparvovirus
proto.101-MonDom,Intergenic,chr10,ADARB2,PFKP,10:1897420-1929958,+,0,Protoparvovirus
proto.103-MonDom,Intergenic,chr9,LINGO2,ACO1,9:30918799-31106170,+,0,Protoparvovirus
proto.104-MonDom,Intergenic,chr10,ADARB2,PFKP,10:1897420-1929958,+,0,Protoparvovirus
proto.101-104-MonDom,Intergenic,chr10,ADARB2,PFKP,10:1897420-1929958,+,0,Protoparvovirus
proto.131-Ctenomyidae,Intergenic,chr1,CDC73,KCNT2,1:194737226-194740522,,NA,Protoparvovirus
proto.132-Ctenomyidae,Intronic,chr1,COL24A1,COL24A1,1:85954973-85954090,,NA,Protoparvovirus
proto.151-diprodontia,Intronic,chr13,KLHL1,KLHL1,13:69701702-70107699,+,NA,Protoparvovirus
proto.152-Sarcophilus,Intergenic,chr5,MRPL22,SGCD,5:154969411-156326757,,0,Protoparvovirus
proto.154-Phascolarctos,Intronic,chr21,KCNJ6,KCNJ6,21:37829378-37840593,+,0,Protoparvovirus
proto.158-Macropus,Intronic,chr11,ME3,ME3,11:86493907-86497959,+,0,Protoparvovirus
proto.161-MacEug,Intronic,chr17,CA10,CA10,17:51847456-51858255,-,0,Protoparvovirus
proto.163-Phascolarctos,Intronic,chr17,CA10,CA10,17:51847419-51851769,+,0,Protoparvovirus
proto.yy-marsupials,Intronic,chr17,CA10,CA10,17:51847419-51851769,+,NA,Protoparvovirus
proto.164-Macropus,Intergenic,chr8,AGPAT5,XKR5,8:6759763-6808517,+,0,Protoparvovirus
proto.167-Vombatus_ursinus,Intronic,chr10,MANCR,MANCR,10:4652078-4656006,+,0,Protoparvovirus
proto.172-MonDom,Intergenic,chr6,TBX18,NT5E,6:85396039-85450172,+,0,Protoparvovirus
proto.174-OctDeg,Intergenic,chr9,PHF2,BARX1,9:93871473-93890849,,0,Protoparvovirus
proto.176-NanGal,Intronic,chr7,POT1-AS1,POT1-AS1,7:125056826-125056864,,0,Protoparvovirus
proto.180-PhaCin,Intronic,chr8,ENPP2,ENPP2,8:119591710-119593739,+,0,Protoparvovirus
proto.bb-marsupials,Intronic,chr10,MANCR,MANCR,10:4652078-4656006,+,NA,Protoparvovirus
proto.181-PhaCin,Intronic,chr10,MANCR,LINC00705,10:4652078-4656002,+,0,Protoparvovirus
proto.182-PhaCin,Intronic,chr15,BTBD1,BTBD1,15:83067252-83016423,+,0,Protoparvovirus
proto.183-PhaCin,Intronic,chr3,VPS8,VPS8,3:184812143-184915483,+,0,Protoparvovirus
proto.184-PhaCin,Intronic,chr9,AGTPBP1,AGTPBP1,9:85548005-85575207,-,0,Protoparvovirus
proto.185-PhaCin,Intergenic,chr6,CD109,COL12A1,6:74854532-74870040,+,0,Protoparvovirus
proto.186-PhaCin,Intergenic,chr2,DLX2,ITGA5,2:172298255-172298513,+,0,Protoparvovirus
proto.187-PhaCin,Intergenic,chr4,SFRP2,ENSG00000280241,4:153851339-153886501,+,0,Protoparvovirus
proto.188-PhaCin,Intergenic,chr6,TBX18,NT5E,6:85345929-85450148,-,0,Protoparvovirus
proto.aa-marsupials,intergenic,chr6,TBX18,NT5E,6:85345929-85450148,-,0,Protoparvovirus
proto.193-CteSoc,Intergenic,chr1,CDC73,KCNT2,1:194737226-194740522,,0,Protoparvovirus
proto.194-SarHar,Intergenic,chr4,PCDH10,PCDH18,4:133194700-137518918,,0,Protoparvovirus
proto.196-SarHar,Intergenic,chr5,DAB2,PTGER4,5:39424980-40679915,,0,Protoparvovirus
proto.201-ChrAsi,Intronic,chr7,CCDC146,CCDC146,7:77241899-77241990,+,0,Protoparvovirus
proto.202-ChrAsi,Intronic,chr15,CEMIP,CEMIP,15:80870154-80870954,+,0,Protoparvovirus
proto.209-MacEug,Intronic,chr3,VPS8,VPS8,3:184915484-184918417,+,0,Protoparvovirus
proto.zz-marsupials,Intronic,chr3,VPS8,VPS8,3:184812143-184915483,+,NA,Protoparvovirus
proto.215-MacEug,Intronic,chr3,ZPLD1,ZPLD1,3:102394557-102404994,,0,Protoparvovirus
proto.217-VomUrs,Intergenic,chr6,TBX18,NT5E,6:85514953-85355198,both,0,Protoparvovirus
proto.218-VomUrs,Intronic,chr8,ENPP2,ENPP2,8:119591710-119593739,-,0,Protoparvovirus
